MET,Alt_CG_Geod_CM (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_LAS (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_Booster (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Quat1_s (CM),Quat1_v0 (CM),Quat1_v1 (CM),Quat1_v2 (CM),Quat1_s (LAS),Quat1_v0 (LAS),Quat1_v1 (LAS),Quat1_v2 (LAS),Quat1_s (Booster),Quat1_v0 (Booster),Quat1_v1 (Booster),Quat1_v2 (Booster),Engine Flag,reserved
0,-47.08564,0.49669439,-1.405486,-47.08564,0.49669439,-1.405486,-47.08564,0.49669439,-1.405486,0.453509139,0.54336792,0.4523963,-0.54260331,0.453509139,0.54336792,0.4523963,-0.54260331,0.453509139,0.54336792,0.4523963,-0.54260331,0,-1
0.025,-47.086411,0.49669439,-1.405486,-47.086411,0.49669439,-1.405486,-47.086411,0.49669439,-1.405486,0.453497312,0.54334533,0.45244271,-0.54259712,0.453497312,0.54334533,0.45244271,-0.54259712,0.453497312,0.54334533,0.45244271,-0.54259712,0,-2
0.05,-45.539291,0.49669454,-1.4054857,-45.539291,0.49669454,-1.4054851,-45.539291,0.49669454,-1.4054849,0.446812914,0.54904145,0.4466216,-0.54721189,0.446812914,0.54904145,0.4466216,-0.54721189,0.446812914,0.54904145,0.4466216,-0.54721189,0,0
0.075,-45.539246,0.49669454,-1.4054857,-45.539246,0.49669454,-1.4054851,-45.539246,0.49669454,-1.4054849,0.44684324,0.54902244,0.44658029,-0.5472399,0.44684324,0.54902244,0.44658029,-0.5472399,0.44684324,0.54902244,0.44658029,-0.5472399,0,0
0.1,-45.539143,0.49669454,-1.4054857,-45.539143,0.49669454,-1.4054851,-45.539143,0.49669454,-1.4054849,0.446864971,0.54900014,0.44653273,-0.54728335,0.446864971,0.54900014,0.44653273,-0.54728335,0.446864971,0.54900014,0.44653273,-0.54728335,0,0
0.125,-45.539074,0.49669454,-1.4054857,-45.539074,0.49669454,-1.4054851,-45.539074,0.49669454,-1.4054849,0.446887708,0.54898274,0.4464792,-0.54732591,0.446887708,0.54898274,0.4464792,-0.54732591,0.446887708,0.54898274,0.4464792,-0.54732591,0,0
0.15,-45.539028,0.49669454,-1.4054857,-45.539028,0.49669454,-1.4054851,-45.539028,0.49669454,-1.4054849,0.446907707,0.54897016,0.44643,-0.54736233,0.446907707,0.54897016,0.44643,-0.54736233,0.446907707,0.54897016,0.44643,-0.54736233,0,0
0.175,-45.538898,0.49669454,-1.4054857,-45.538898,0.49669454,-1.4054851,-45.538898,0.49669454,-1.4054849,0.4469389,0.54894185,0.44637129,-0.54741311,0.4469389,0.54894185,0.44637129,-0.54741311,0.4469389,0.54894185,0.44637129,-0.54741311,0,0
0.2,-45.538784,0.49669454,-1.4054857,-45.538784,0.49669454,-1.4054851,-45.538784,0.49669454,-1.4054849,0.446966869,0.54892206,0.44632071,-0.54745138,0.446966869,0.54892206,0.44632071,-0.54745138,0.446966869,0.54892206,0.44632071,-0.54745138,0,0
0.225,-45.53867,0.49669454,-1.4054857,-45.53867,0.49669454,-1.4054851,-45.53867,0.49669454,-1.4054849,0.446994718,0.54890299,0.44626707,-0.54749149,0.446994718,0.54890299,0.44626707,-0.54749149,0.446994718,0.54890299,0.44626707,-0.54749149,0,0
0.25,-45.538528,0.49669454,-1.4054857,-45.538528,0.49669454,-1.4054851,-45.538528,0.49669454,-1.4054849,0.447025461,0.54888076,0.44620708,-0.54753757,0.447025461,0.54888076,0.44620708,-0.54753757,0.447025461,0.54888076,0.44620708,-0.54753757,0,0
0.275,-45.538334,0.49669454,-1.4054857,-45.538334,0.49669454,-1.4054851,-45.538334,0.49669454,-1.4054849,0.44705305,0.54885483,0.44615364,-0.54758459,0.44705305,0.54885483,0.44615364,-0.54758459,0.44705305,0.54885483,0.44615364,-0.54758459,0,0
0.3,-45.538181,0.49669454,-1.4054857,-45.538181,0.49669454,-1.4054851,-45.538181,0.49669454,-1.4054849,0.447078732,0.54883176,0.44609877,-0.54763144,0.447078732,0.54883176,0.44609877,-0.54763144,0.447078732,0.54883176,0.44609877,-0.54763144,0,0
0.325,-45.538151,0.49669454,-1.4054857,-45.538151,0.49669454,-1.4054851,-45.538151,0.49669454,-1.4054849,0.447114374,0.54881316,0.44604048,-0.54766846,0.447114374,0.54881316,0.44604048,-0.54766846,0.447114374,0.54881316,0.44604048,-0.54766846,0,0
0.35,-45.53801,0.49669454,-1.4054857,-45.53801,0.49669454,-1.4054851,-45.53801,0.49669454,-1.4054849,0.447143873,0.54878688,0.44598338,-0.54771721,0.447143873,0.54878688,0.44598338,-0.54771721,0.447143873,0.54878688,0.44598338,-0.54771721,0,0
0.375,-45.537811,0.49669454,-1.4054857,-45.537811,0.49669454,-1.4054851,-45.537811,0.49669454,-1.4054849,0.44716841,0.54876214,0.4459264,-0.54776835,0.44716841,0.54876214,0.4459264,-0.54776835,0.44716841,0.54876214,0.4459264,-0.54776835,0,0
0.4,-45.537704,0.49669454,-1.4054857,-45.537704,0.49669454,-1.4054851,-45.537704,0.49669454,-1.4054849,0.447199287,0.54874432,0.44587123,-0.54780591,0.447199287,0.54874432,0.44587123,-0.54780591,0.447199287,0.54874432,0.44587123,-0.54780591,0,0
