MET,Alt_CG_Geod_CM (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_LAS (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_Booster (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Quat1_s (CM),Quat1_v0 (CM),Quat1_v1 (CM),Quat1_v2 (CM),Quat1_s (LAS),Quat1_v0 (LAS),Quat1_v1 (LAS),Quat1_v2 (LAS),Quat1_s (Booster),Quat1_v0 (Booster),Quat1_v1 (Booster),Quat1_v2 (Booster),Engine Flag,reserved
0,-47.08564,0.49669439,-1.405486,-47.08564,0.49669439,-1.405486,-47.08564,0.49669439,-1.405486,0.4535091391,0.54336792,0.4523963,-0.54260331,0.4535091391,0.54336792,0.4523963,-0.54260331,0.4535091391,0.54336792,0.4523963,-0.54260331,0,-1
0.019689,-47.086411,0.49669439,-1.405486,-47.086411,0.49669439,-1.405486,-47.086411,0.49669439,-1.405486,0.4534973119,0.54334533,0.45244271,-0.54259712,0.4534973119,0.54334533,0.45244271,-0.54259712,0.4534973119,0.54334533,0.45244271,-0.54259712,0,-2
0.039369,-47.087185,0.49669439,-1.405486,-47.087185,0.49669439,-1.405486,-47.087185,0.49669439,-1.405486,0.4534854769,0.54332256,0.45248893,-0.54259127,0.4534854769,0.54332256,0.45248893,-0.54259127,0.4534854769,0.54332256,0.45248893,-0.54259127,0,3
0.07873,-47.088032,0.49669439,-1.405486,-47.088032,0.49669439,-1.405486,-47.088032,0.49669439,-1.405486,0.4534757726,0.54330939,0.4525249,-0.54258257,0.4534757726,0.54330939,0.4525249,-0.54258257,0.4534757726,0.54330939,0.4525249,-0.54258257,0,4
0.098409,-47.088806,0.49669439,-1.405486,-47.088806,0.49669439,-1.405486,-47.088806,0.49669439,-1.405486,0.4534647939,0.5432837,0.45257625,-0.54257464,0.4534647939,0.5432837,0.45257625,-0.54257464,0.4534647939,0.5432837,0.45257625,-0.54257464,0,0
0.11809,-47.089718,0.49669439,-1.405486,-47.089718,0.49669439,-1.405486,-47.089718,0.49669439,-1.405486,0.4534572005,0.54326385,0.45261833,-0.54256576,0.4534572005,0.54326385,0.45261833,-0.54256576,0.4534572005,0.54326385,0.45261833,-0.54256576,0,0
0.15745,-47.090591,0.49669439,-1.405486,-47.090591,0.49669439,-1.405486,-47.090591,0.49669439,-1.405486,0.453447578,0.54323751,0.45266536,-0.54256094,0.453447578,0.54323751,0.45266536,-0.54256094,0.453447578,0.54323751,0.45266536,-0.54256094,0,0
0.17713,-47.091476,0.49669439,-1.405486,-47.091476,0.49669439,-1.405486,-47.091476,0.49669439,-1.405486,0.4534368951,0.54322147,0.45270896,-0.54254955,0.4534368951,0.54322147,0.45270896,-0.54254955,0.4534368951,0.54322147,0.45270896,-0.54254955,0,0
0.19681,-47.092258,0.49669439,-1.405486,-47.092258,0.49669439,-1.405486,-47.092258,0.49669439,-1.405486,0.453429914,0.54319507,0.45275205,-0.54254586,0.453429914,0.54319507,0.45275205,-0.54254586,0.453429914,0.54319507,0.45275205,-0.54254586,0,0
0.21649,-47.093086,0.49669439,-1.405486,-47.093086,0.49669439,-1.405486,-47.093086,0.49669439,-1.405486,0.4534217798,0.54317218,0.45279366,-0.54254085,0.4534217798,0.54317218,0.45279366,-0.54254085,0.4534217798,0.54317218,0.45279366,-0.54254085,0,0
0.25585,-47.093903,0.49669439,-1.405486,-47.093903,0.49669439,-1.405486,-47.093903,0.49669439,-1.405486,0.4534093696,0.54315162,0.45284146,-0.54253191,0.4534093696,0.54315162,0.45284146,-0.54253191,0.4534093696,0.54315162,0.45284146,-0.54253191,0,0
0.27553,-47.094673,0.49669439,-1.405486,-47.094673,0.49669439,-1.405486,-47.094673,0.49669439,-1.405486,0.4534005578,0.54312783,0.45288175,-0.54252946,0.4534005578,0.54312783,0.45288175,-0.54252946,0.4534005578,0.54312783,0.45288175,-0.54252946,0,0
0.29521,-47.095463,0.49669439,-1.405486,-47.095463,0.49669439,-1.405486,-47.095463,0.49669439,-1.405486,0.4533877579,0.54310793,0.45292613,-0.54252303,0.4533877579,0.54310793,0.45292613,-0.54252303,0.4533877579,0.54310793,0.45292613,-0.54252303,0,0
0.314891,-47.096302,0.49669439,-1.405486,-47.096302,0.49669439,-1.405486,-47.096302,0.49669439,-1.405486,0.4533839779,0.5430882,0.4529615,-0.54251641,0.4533839779,0.5430882,0.4529615,-0.54251641,0.4533839779,0.5430882,0.4529615,-0.54251641,0,0
0.35425,-47.097076,0.49669439,-1.405486,-47.097076,0.49669439,-1.405486,-47.097076,0.49669439,-1.405486,0.4533738904,0.5430705,0.45301223,-0.5425002,0.4533738904,0.5430705,0.45301223,-0.5425002,0.4533738904,0.5430705,0.45301223,-0.5425002,0,0
0.37393,-47.09782,0.49669439,-1.405486,-47.09782,0.49669439,-1.405486,-47.09782,0.49669439,-1.405486,0.4533652759,0.54304987,0.4530403,-0.54250461,0.4533652759,0.54304987,0.4530403,-0.54250461,0.4533652759,0.54304987,0.4530403,-0.54250461,0,0
0.39361,-47.098675,0.49669439,-1.405486,-47.098675,0.49669439,-1.405486,-47.098675,0.49669439,-1.405486,0.4533617843,0.54303277,0.45308006,-0.54249144,0.4533617843,0.54303277,0.45308006,-0.54249144,0.4533617843,0.54303277,0.45308006,-0.54249144,0,0
0.413291,-47.099449,0.49669439,-1.405486,-47.099449,0.49669439,-1.405486,-47.099449,0.49669439,-1.405486,0.4533481009,0.54301149,0.45312026,-0.5424906,0.4533481009,0.54301149,0.45312026,-0.5424906,0.4533481009,0.54301149,0.45312026,-0.5424906,0,0
0.452651,-47.100323,0.49669436,-1.405486,-47.100323,0.49669436,-1.405486,-47.100323,0.49669436,-1.405486,0.4533424774,0.5429973,0.45314902,-0.54248548,0.4533424774,0.5429973,0.45314902,-0.54248548,0.4533424774,0.5429973,0.45314902,-0.54248548,0,0
0.472331,-47.101135,0.49669436,-1.405486,-47.101135,0.49669436,-1.405486,-47.101135,0.49669436,-1.405486,0.4533351164,0.54297996,0.45318487,-0.54247904,0.4533351164,0.54297996,0.45318487,-0.54247904,0.4533351164,0.54297996,0.45318487,-0.54247904,0,0
0.492011,-47.101967,0.49669436,-1.405486,-47.101967,0.49669436,-1.405486,-47.101967,0.49669436,-1.405486,0.4533299988,0.54296815,0.45321077,-0.5424735,0.4533299988,0.54296815,0.45321077,-0.5424735,0.4533299988,0.54296815,0.45321077,-0.5424735,0,0
0.531372,-47.102661,0.49669436,-1.405486,-47.102661,0.49669436,-1.405486,-47.102661,0.49669436,-1.405486,0.4533222035,0.54294533,0.45324776,-0.54247195,0.4533222035,0.54294533,0.45324776,-0.54247195,0.4533222035,0.54294533,0.45324776,-0.54247195,0,0
0.551052,-47.103493,0.49669436,-1.405486,-47.103493,0.49669436,-1.405486,-47.103493,0.49669436,-1.405486,0.453313912,0.54293412,0.45327562,-0.54246682,0.453313912,0.54293412,0.45327562,-0.54246682,0.453313912,0.54293412,0.45327562,-0.54246682,0,0
0.570732,-47.104324,0.49669436,-1.405486,-47.104324,0.49669436,-1.405486,-47.104324,0.49669436,-1.405486,0.4533053279,0.54292029,0.45329913,-0.54246819,0.4533053279,0.54292029,0.45329913,-0.54246819,0.4533053279,0.54292029,0.45329913,-0.54246819,0,0
0.590412,-47.104565,0.49669436,-1.405486,-47.104565,0.49669436,-1.405486,-47.104565,0.49669436,-1.405486,0.4533042187,0.54291022,0.45332721,-0.54245573,0.4533042187,0.54291022,0.45332721,-0.54245573,0.4533042187,0.54291022,0.45332721,-0.54245573,0,0
0.629772,-47.105404,0.49669436,-1.405486,-47.105404,0.49669436,-1.405486,-47.105404,0.49669436,-1.405486,0.4532979852,0.54290098,0.4533475,-0.54245323,0.4532979852,0.54290098,0.4533475,-0.54245323,0.4532979852,0.54290098,0.4533475,-0.54245323,0,0
0.649452,-47.106205,0.49669436,-1.405486,-47.106205,0.49669436,-1.405486,-47.106205,0.49669436,-1.405486,0.4532903139,0.54289013,0.45336717,-0.54245406,0.4532903139,0.54289013,0.45336717,-0.54245406,0.4532903139,0.54289013,0.45336717,-0.54245406,0,0
0.669132,-47.107014,0.49669436,-1.405486,-47.107014,0.49669436,-1.405486,-47.107014,0.49669436,-1.405486,0.4532896026,0.54287475,0.45338479,-0.54245532,0.4532896026,0.54287475,0.45338479,-0.54245532,0.4532896026,0.54287475,0.45338479,-0.54245532,0,0
0.688812,-47.107891,0.49669436,-1.405486,-47.107891,0.49669436,-1.405486,-47.107891,0.49669436,-1.405486,0.4532875191,0.54286981,0.45340413,-0.54244584,0.4532875191,0.54286981,0.45340413,-0.54244584,0.4532875191,0.54286981,0.45340413,-0.54244584,0,0
0.728173,-47.108761,0.49669436,-1.405486,-47.108761,0.49669436,-1.405486,-47.108761,0.49669436,-1.405486,0.4532808218,0.54286766,0.4534159,-0.54244375,0.4532808218,0.54286766,0.4534159,-0.54244375,0.4532808218,0.54286766,0.4534159,-0.54244375,0,0
0.747853,-47.109692,0.49669436,-1.405486,-47.109692,0.49669436,-1.405486,-47.109692,0.49669436,-1.405486,0.4532813597,0.54286236,0.45342556,-0.54244053,0.4532813597,0.54286236,0.45342556,-0.54244053,0.4532813597,0.54286236,0.45342556,-0.54244053,0,0
0.767533,-47.110554,0.49669436,-1.405486,-47.110554,0.49669436,-1.405486,-47.110554,0.49669436,-1.405486,0.4532785493,0.54285872,0.45342994,-0.54244286,0.4532785493,0.54285872,0.45342994,-0.54244286,0.4532785493,0.54285872,0.45342994,-0.54244286,0,0
0.806893,-47.11137,0.49669436,-1.405486,-47.11137,0.49669436,-1.405486,-47.11137,0.49669436,-1.405486,0.4532787975,0.54285049,0.45344433,-0.54243886,0.4532787975,0.54285049,0.45344433,-0.54243886,0.4532787975,0.54285049,0.45344433,-0.54243886,0,0
0.826573,-47.112251,0.49669436,-1.405486,-47.112251,0.49669436,-1.405486,-47.112251,0.49669436,-1.405486,0.4532767664,0.54284948,0.45344678,-0.54243952,0.4532767664,0.54284948,0.45344678,-0.54243952,0.4532767664,0.54284948,0.45344678,-0.54243952,0,0
0.846253,-47.113113,0.49669436,-1.405486,-47.113113,0.49669436,-1.405486,-47.113113,0.49669436,-1.405486,0.453278858,0.54284972,0.45344561,-0.54243851,0.453278858,0.54284972,0.45344561,-0.54243851,0.453278858,0.54284972,0.45344561,-0.54243851,0,0
0.865933,-47.113873,0.49669436,-1.405486,-47.113873,0.49669436,-1.405486,-47.113873,0.49669436,-1.405486,0.4532755002,0.54284787,0.45344904,-0.5424403,0.4532755002,0.54284787,0.45344904,-0.5424403,0.4532755002,0.54284787,0.45344904,-0.5424403,0,0
0.905293,-47.114666,0.49669436,-1.405486,-47.114666,0.49669436,-1.405486,-47.114666,0.49669436,-1.405486,0.4532789038,0.54284853,0.45344535,-0.54243988,0.4532789038,0.54284853,0.45344535,-0.54243988,0.4532789038,0.54284853,0.45344535,-0.54243988,0,0
0.924974,-47.115437,0.49669436,-1.405486,-47.115437,0.49669436,-1.405486,-47.115437,0.49669436,-1.405486,0.4532801663,0.54285187,0.45343924,-0.54244059,0.4532801663,0.54285187,0.45343924,-0.54244059,0.4532801663,0.54285187,0.45343924,-0.54244059,0,0
0.944654,-47.116257,0.49669436,-1.405486,-47.116257,0.49669436,-1.405486,-47.116257,0.49669436,-1.405486,0.4532827927,0.54286009,0.45342919,-0.54243857,0.4532827927,0.54286009,0.45342919,-0.54243857,0.4532827927,0.54286009,0.45342919,-0.54243857,0,0
0.964334,-47.117031,0.49669436,-1.405486,-47.117031,0.49669436,-1.405486,-47.117031,0.49669436,-1.405486,0.4532846397,0.54286486,0.45342314,-0.54243731,0.4532846397,0.54286486,0.45342314,-0.54243731,0.4532846397,0.54286486,0.45342314,-0.54243731,0,0
1.003694,-47.117771,0.49669436,-1.405486,-47.117771,0.49669436,-1.405486,-47.117771,0.49669436,-1.405486,0.4532870396,0.54286641,0.45341203,-0.54244304,0.4532870396,0.54286641,0.45341203,-0.54244304,0.4532870396,0.54286641,0.45341203,-0.54244304,0,0
1.023373,-47.118504,0.49669436,-1.405486,-47.118504,0.49669436,-1.405486,-47.118504,0.49669436,-1.405486,0.4532846723,0.54287314,0.45339465,-0.54245281,0.4532846723,0.54287314,0.45339465,-0.54245281,0.4532846723,0.54287314,0.45339465,-0.54245281,0,0
1.043054,-47.119286,0.49669436,-1.405486,-47.119286,0.49669436,-1.405486,-47.119286,0.49669436,-1.405486,0.4532877274,0.54288423,0.45338053,-0.54245096,0.4532877274,0.54288423,0.45338053,-0.54245096,0.4532877274,0.54288423,0.45338053,-0.54245096,0,0
1.082414,-47.120056,0.49669436,-1.405486,-47.120056,0.49669436,-1.405486,-47.120056,0.49669436,-1.405486,0.4532911964,0.54289502,0.45336249,-0.54245234,0.4532911964,0.54289502,0.45336249,-0.54245234,0.4532911964,0.54289502,0.45336249,-0.54245234,0,0
1.102094,-47.120831,0.49669436,-1.405486,-47.120831,0.49669436,-1.405486,-47.120831,0.49669436,-1.405486,0.4532969264,0.54290533,0.45333964,-0.54245633,0.4532969264,0.54290533,0.45333964,-0.54245633,0.4532969264,0.54290533,0.45333964,-0.54245633,0,0
1.121774,-47.121563,0.49669436,-1.405486,-47.121563,0.49669436,-1.405486,-47.121563,0.49669436,-1.405486,0.4533051479,0.54291272,0.4533143,-0.54246324,0.4533051479,0.54291272,0.4533143,-0.54246324,0.4533051479,0.54291272,0.4533143,-0.54246324,0,0
